date,Universal Studios Singapore,USS queue time,Sentosa,Singapore Attraction,isPartial
2023-01-01,16,0,70,1,False
2023-01-02,16,0,70,1,False
2023-01-03,16,0,70,1,False
2023-01-04,16,0,70,1,False
2023-01-05,16,0,70,1,False
2023-01-06,16,0,70,1,False
2023-01-07,16,0,70,1,False
2023-01-08,13,0,57,0,False
2023-01-09,13,0,57,0,False
2023-01-10,13,0,57,0,False
2023-01-11,13,0,57,0,False
2023-01-12,13,0,57,0,False
2023-01-13,13,0,57,0,False
2023-01-14,13,0,57,0,False
2023-01-15,14,0,54,1,False
2023-01-16,14,0,54,1,False
2023-01-17,14,0,54,1,False
2023-01-18,14,0,54,1,False
2023-01-19,14,0,54,1,False
2023-01-20,14,0,54,1,False
2023-01-21,14,0,54,1,False
2023-01-22,16,0,73,2,False
2023-01-23,16,0,73,2,False
2023-01-24,16,0,73,2,False
2023-01-25,16,0,73,2,False
2023-01-26,16,0,73,2,False
2023-01-27,16,0,73,2,False
2023-01-28,16,0,73,2,False
2023-01-29,10,0,62,1,False
2023-01-30,10,0,62,1,False
2023-01-31,10,0,62,1,False
2023-02-01,10,0,62,1,False
2023-02-02,10,0,62,1,False
2023-02-03,10,0,62,1,False
2023-02-04,10,0,62,1,False
2023-02-05,12,0,69,0,False
2023-02-06,12,0,69,0,False
2023-02-07,12,0,69,0,False
2023-02-08,12,0,69,0,False
2023-02-09,12,0,69,0,False
2023-02-10,12,0,69,0,False
2023-02-11,12,0,69,0,False
2023-02-12,12,0,65,1,False
2023-02-13,12,0,65,1,False
2023-02-14,12,0,65,1,False
2023-02-15,12,0,65,1,False
2023-02-16,12,0,65,1,False
2023-02-17,12,0,65,1,False
2023-02-18,12,0,65,1,False
2023-02-19,13,0,65,1,False
2023-02-20,13,0,65,1,False
2023-02-21,13,0,65,1,False
2023-02-22,13,0,65,1,False
2023-02-23,13,0,65,1,False
2023-02-24,13,0,65,1,False
2023-02-25,13,0,65,1,False
2023-02-26,11,0,70,1,False
2023-02-27,11,0,70,1,False
2023-02-28,11,0,70,1,False
2023-03-01,11,0,70,1,False
2023-03-02,11,0,70,1,False
2023-03-03,11,0,70,1,False
2023-03-04,11,0,70,1,False
2023-03-05,13,0,73,1,False
2023-03-06,13,0,73,1,False
2023-03-07,13,0,73,1,False
2023-03-08,13,0,73,1,False
2023-03-09,13,0,73,1,False
2023-03-10,13,0,73,1,False
2023-03-11,13,0,73,1,False
2023-03-12,16,0,90,1,False
2023-03-13,16,0,90,1,False
2023-03-14,16,0,90,1,False
2023-03-15,16,0,90,1,False
2023-03-16,16,0,90,1,False
2023-03-17,16,0,90,1,False
2023-03-18,16,0,90,1,False
2023-03-19,14,0,78,1,False
2023-03-20,14,0,78,1,False
2023-03-21,14,0,78,1,False
2023-03-22,14,0,78,1,False
2023-03-23,14,0,78,1,False
2023-03-24,14,0,78,1,False
2023-03-25,14,0,78,1,False
2023-03-26,14,0,79,1,False
2023-03-27,14,0,79,1,False
2023-03-28,14,0,79,1,False
2023-03-29,14,0,79,1,False
2023-03-30,14,0,79,1,False
2023-03-31,14,0,79,1,False
2023-04-01,14,0,79,1,False
2023-04-02,17,0,86,1,False
2023-04-03,17,0,86,1,False
2023-04-04,17,0,86,1,False
2023-04-05,17,0,86,1,False
2023-04-06,17,0,86,1,False
2023-04-07,17,0,86,1,False
2023-04-08,17,0,86,1,False
2023-04-09,16,0,73,1,False
2023-04-10,16,0,73,1,False
2023-04-11,16,0,73,1,False
2023-04-12,16,0,73,1,False
2023-04-13,16,0,73,1,False
2023-04-14,16,0,73,1,False
2023-04-15,16,0,73,1,False
2023-04-16,15,0,69,1,False
2023-04-17,15,0,69,1,False
2023-04-18,15,0,69,1,False
2023-04-19,15,0,69,1,False
2023-04-20,15,0,69,1,False
2023-04-21,15,0,69,1,False
2023-04-22,15,0,69,1,False
2023-04-23,18,0,84,1,False
2023-04-24,18,0,84,1,False
2023-04-25,18,0,84,1,False
2023-04-26,18,0,84,1,False
2023-04-27,18,0,84,1,False
2023-04-28,18,0,84,1,False
2023-04-29,18,0,84,1,False
2023-04-30,15,0,83,1,False
2023-05-01,15,0,83,1,False
2023-05-02,15,0,83,1,False
2023-05-03,15,0,83,1,False
2023-05-04,15,0,83,1,False
2023-05-05,15,0,83,1,False
2023-05-06,15,0,83,1,False
2023-05-07,15,0,74,1,False
2023-05-08,15,0,74,1,False
2023-05-09,15,0,74,1,False
2023-05-10,15,0,74,1,False
2023-05-11,15,0,74,1,False
2023-05-12,15,0,74,1,False
2023-05-13,15,0,74,1,False
2023-05-14,16,0,76,1,False
2023-05-15,16,0,76,1,False
2023-05-16,16,0,76,1,False
2023-05-17,16,0,76,1,False
2023-05-18,16,0,76,1,False
2023-05-19,16,0,76,1,False
2023-05-20,16,0,76,1,False
2023-05-21,16,0,76,1,False
2023-05-22,16,0,76,1,False
2023-05-23,16,0,76,1,False
2023-05-24,16,0,76,1,False
2023-05-25,16,0,76,1,False
2023-05-26,16,0,76,1,False
2023-05-27,16,0,76,1,False
2023-05-28,19,0,85,1,False
2023-05-29,19,0,85,1,False
2023-05-30,19,0,85,1,False
2023-05-31,19,0,85,1,False
2023-06-01,19,0,85,1,False
2023-06-02,19,0,85,1,False
2023-06-03,19,0,85,1,False
2023-06-04,19,0,100,2,False
2023-06-05,19,0,100,2,False
2023-06-06,19,0,100,2,False
2023-06-07,19,0,100,2,False
2023-06-08,19,0,100,2,False
2023-06-09,19,0,100,2,False
2023-06-10,19,0,100,2,False
2023-06-11,19,0,89,1,False
2023-06-12,19,0,89,1,False
2023-06-13,19,0,89,1,False
2023-06-14,19,0,89,1,False
2023-06-15,19,0,89,1,False
2023-06-16,19,0,89,1,False
2023-06-17,19,0,89,1,False
2023-06-18,18,0,82,1,False
2023-06-19,18,0,82,1,False
2023-06-20,18,0,82,1,False
2023-06-21,18,0,82,1,False
2023-06-22,18,0,82,1,False
2023-06-23,18,0,82,1,False
2023-06-24,18,0,82,1,False
2023-06-25,20,0,83,2,False
2023-06-26,20,0,83,2,False
2023-06-27,20,0,83,2,False
2023-06-28,20,0,83,2,False
2023-06-29,20,0,83,2,False
2023-06-30,20,0,83,2,False
2023-07-01,20,0,83,2,False
2023-07-02,19,0,79,1,False
2023-07-03,19,0,79,1,False
2023-07-04,19,0,79,1,False
2023-07-05,19,0,79,1,False
2023-07-06,19,0,79,1,False
2023-07-07,19,0,79,1,False
2023-07-08,19,0,79,1,False
2023-07-09,20,0,80,1,False
2023-07-10,20,0,80,1,False
2023-07-11,20,0,80,1,False
2023-07-12,20,0,80,1,False
2023-07-13,20,0,80,1,False
2023-07-14,20,0,80,1,False
2023-07-15,20,0,80,1,False
2023-07-16,18,0,79,1,False
2023-07-17,18,0,79,1,False
2023-07-18,18,0,79,1,False
2023-07-19,18,0,79,1,False
2023-07-20,18,0,79,1,False
2023-07-21,18,0,79,1,False
2023-07-22,18,0,79,1,False
2023-07-23,18,0,83,1,False
2023-07-24,18,0,83,1,False
2023-07-25,18,0,83,1,False
2023-07-26,18,0,83,1,False
2023-07-27,18,0,83,1,False
2023-07-28,18,0,83,1,False
2023-07-29,18,0,83,1,False
2023-07-30,14,0,76,1,False
2023-07-31,14,0,76,1,False
2023-08-01,14,0,76,1,False
2023-08-02,14,0,76,1,False
2023-08-03,14,0,76,1,False
2023-08-04,14,0,76,1,False
2023-08-05,14,0,76,1,False
2023-08-06,17,0,91,1,False
2023-08-07,17,0,91,1,False
2023-08-08,17,0,91,1,False
2023-08-09,17,0,91,1,False
2023-08-10,17,0,91,1,False
2023-08-11,17,0,91,1,False
2023-08-12,17,0,91,1,False
2023-08-13,18,0,76,1,False
2023-08-14,18,0,76,1,False
2023-08-15,18,0,76,1,False
2023-08-16,18,0,76,1,False
2023-08-17,18,0,76,1,False
2023-08-18,18,0,76,1,False
2023-08-19,18,0,76,1,False
2023-08-20,14,0,76,1,False
2023-08-21,14,0,76,1,False
2023-08-22,14,0,76,1,False
2023-08-23,14,0,76,1,False
2023-08-24,14,0,76,1,False
2023-08-25,14,0,76,1,False
2023-08-26,14,0,76,1,False
2023-08-27,15,0,83,2,False
2023-08-28,15,0,83,2,False
2023-08-29,15,0,83,2,False
2023-08-30,15,0,83,2,False
2023-08-31,15,0,83,2,False
2023-09-01,15,0,83,2,False
2023-09-02,15,0,83,2,False
2023-09-03,14,0,83,1,False
2023-09-04,14,0,83,1,False
2023-09-05,14,0,83,1,False
2023-09-06,14,0,83,1,False
2023-09-07,14,0,83,1,False
2023-09-08,14,0,83,1,False
2023-09-09,14,0,83,1,False
2023-09-10,12,0,76,1,False
2023-09-11,12,0,76,1,False
2023-09-12,12,0,76,1,False
2023-09-13,12,0,76,1,False
2023-09-14,12,0,76,1,False
2023-09-15,12,0,76,1,False
2023-09-16,12,0,76,1,False
2023-09-17,12,0,72,1,False
2023-09-18,12,0,72,1,False
2023-09-19,12,0,72,1,False
2023-09-20,12,0,72,1,False
2023-09-21,12,0,72,1,False
2023-09-22,12,0,72,1,False
2023-09-23,12,0,72,1,False
2023-09-24,16,0,71,1,False
2023-09-25,16,0,71,1,False
2023-09-26,16,0,71,1,False
2023-09-27,16,0,71,1,False
2023-09-28,16,0,71,1,False
2023-09-29,16,0,71,1,False
2023-09-30,16,0,71,1,False
2023-10-01,15,0,73,1,False
2023-10-02,15,0,73,1,False
2023-10-03,15,0,73,1,False
2023-10-04,15,0,73,1,False
2023-10-05,15,0,73,1,False
2023-10-06,15,0,73,1,False
2023-10-07,15,0,73,1,False
2023-10-08,15,0,68,1,False
2023-10-09,15,0,68,1,False
2023-10-10,15,0,68,1,False
2023-10-11,15,0,68,1,False
2023-10-12,15,0,68,1,False
2023-10-13,15,0,68,1,False
2023-10-14,15,0,68,1,False
2023-10-15,18,0,74,1,False
2023-10-16,18,0,74,1,False
2023-10-17,18,0,74,1,False
2023-10-18,18,0,74,1,False
2023-10-19,18,0,74,1,False
2023-10-20,18,0,74,1,False
2023-10-21,18,0,74,1,False
2023-10-22,16,0,79,1,False
2023-10-23,16,0,79,1,False
2023-10-24,16,0,79,1,False
2023-10-25,16,0,79,1,False
2023-10-26,16,0,79,1,False
2023-10-27,16,0,79,1,False
2023-10-28,16,0,79,1,False
2023-10-29,16,0,67,1,False
2023-10-30,16,0,67,1,False
2023-10-31,16,0,67,1,False
2023-11-01,16,0,67,1,False
2023-11-02,16,0,67,1,False
2023-11-03,16,0,67,1,False
2023-11-04,16,0,67,1,False
2023-11-05,14,0,72,1,False
2023-11-06,14,0,72,1,False
2023-11-07,14,0,72,1,False
2023-11-08,14,0,72,1,False
2023-11-09,14,0,72,1,False
2023-11-10,14,0,72,1,False
2023-11-11,14,0,72,1,False
2023-11-12,15,0,82,1,False
2023-11-13,15,0,82,1,False
2023-11-14,15,0,82,1,False
2023-11-15,15,0,82,1,False
2023-11-16,15,0,82,1,False
2023-11-17,15,0,82,1,False
2023-11-18,15,0,82,1,False
2023-11-19,15,0,77,1,False
2023-11-20,15,0,77,1,False
2023-11-21,15,0,77,1,False
2023-11-22,15,0,77,1,False
2023-11-23,15,0,77,1,False
2023-11-24,15,0,77,1,False
2023-11-25,15,0,77,1,False
2023-11-26,11,0,72,1,False
2023-11-27,11,0,72,1,False
2023-11-28,11,0,72,1,False
2023-11-29,11,0,72,1,False
2023-11-30,11,0,72,1,False
2023-12-01,11,0,72,1,False
2023-12-02,11,0,72,1,False
2023-12-03,15,0,75,1,False
2023-12-04,15,0,75,1,False
2023-12-05,15,0,75,1,False
2023-12-06,15,0,75,1,False
2023-12-07,15,0,75,1,False
2023-12-08,15,0,75,1,False
2023-12-09,15,0,75,1,False
2023-12-10,15,0,75,1,False
2023-12-11,15,0,75,1,False
2023-12-12,15,0,75,1,False
2023-12-13,15,0,75,1,False
2023-12-14,15,0,75,1,False
2023-12-15,15,0,75,1,False
2023-12-16,15,0,75,1,False
2023-12-17,22,0,81,1,False
2023-12-18,22,0,81,1,False
2023-12-19,22,0,81,1,False
2023-12-20,22,0,81,1,False
2023-12-21,22,0,81,1,False
2023-12-22,22,0,81,1,False
2023-12-23,22,0,81,1,False
2023-12-24,28,0,94,1,False
2023-12-25,28,0,94,1,False
2023-12-26,28,0,94,1,False
2023-12-27,28,0,94,1,False
2023-12-28,28,0,94,1,False
2023-12-29,28,0,94,1,False
2023-12-30,28,0,94,1,False
2023-12-31,16,0,69,1,False
2024-01-01,16,0,69,1,False
2024-01-02,16,0,69,1,False
2024-01-03,16,0,69,1,False
2024-01-04,16,0,69,1,False
2024-01-05,16,0,69,1,False
2024-01-06,16,0,69,1,False
2024-01-07,13,0,57,1,False
2024-01-08,13,0,57,1,False
2024-01-09,13,0,57,1,False
2024-01-10,13,0,57,1,False
2024-01-11,13,0,57,1,False
2024-01-12,13,0,57,1,False
2024-01-13,13,0,57,1,False
2024-01-14,13,0,53,1,False
2024-01-15,13,0,53,1,False
2024-01-16,13,0,53,1,False
2024-01-17,13,0,53,1,False
2024-01-18,13,0,53,1,False
2024-01-19,13,0,53,1,False
2024-01-20,13,0,53,1,False
2024-01-21,14,0,60,0,False
2024-01-22,14,0,60,0,False
2024-01-23,14,0,60,0,False
2024-01-24,14,0,60,0,False
2024-01-25,14,0,60,0,False
2024-01-26,14,0,60,0,False
2024-01-27,14,0,60,0,False
2024-01-28,13,0,64,1,False
2024-01-29,13,0,64,1,False
2024-01-30,13,0,64,1,False
2024-01-31,13,0,64,1,False
2024-02-01,13,0,64,1,False
2024-02-02,13,0,64,1,False
2024-02-03,13,0,64,1,False
2024-02-04,15,0,69,1,False
2024-02-05,15,0,69,1,False
2024-02-06,15,0,69,1,False
2024-02-07,15,0,69,1,False
2024-02-08,15,0,69,1,False
2024-02-09,15,0,69,1,False
2024-02-10,15,0,69,1,False
2024-02-11,14,0,81,1,False
2024-02-12,14,0,81,1,False
2024-02-13,14,0,81,1,False
2024-02-14,14,0,81,1,False
2024-02-15,14,0,81,1,False
2024-02-16,14,0,81,1,False
2024-02-17,14,0,81,1,False
2024-02-18,11,0,70,1,False
2024-02-19,11,0,70,1,False
2024-02-20,11,0,70,1,False
2024-02-21,11,0,70,1,False
2024-02-22,11,0,70,1,False
2024-02-23,11,0,70,1,False
2024-02-24,11,0,70,1,False
2024-02-25,13,0,73,1,False
2024-02-26,13,0,73,1,False
2024-02-27,13,0,73,1,False
2024-02-28,13,0,73,1,False
2024-02-29,13,0,73,1,False
2024-03-01,13,0,73,1,False
2024-03-02,13,0,73,1,False
2024-03-03,17,0,74,1,False
2024-03-04,17,0,74,1,False
2024-03-05,17,0,74,1,False
2024-03-06,17,0,74,1,False
2024-03-07,17,0,74,1,False
2024-03-08,17,0,74,1,False
2024-03-09,17,0,74,1,False
2024-03-10,14,0,94,1,False
2024-03-11,14,0,94,1,False
2024-03-12,14,0,94,1,False
2024-03-13,14,0,94,1,False
2024-03-14,14,0,94,1,False
2024-03-15,14,0,94,1,False
2024-03-16,14,0,94,1,False
2024-03-17,12,0,85,1,False
2024-03-18,12,0,85,1,False
2024-03-19,12,0,85,1,False
2024-03-20,12,0,85,1,False
2024-03-21,12,0,85,1,False
2024-03-22,12,0,85,1,False
2024-03-23,12,0,85,1,False
2024-03-24,17,0,97,1,False
2024-03-25,17,0,97,1,False
2024-03-26,17,0,97,1,False
2024-03-27,17,0,97,1,False
2024-03-28,17,0,97,1,False
2024-03-29,17,0,97,1,False
2024-03-30,17,0,97,1,False
2024-03-31,15,0,68,1,False
2024-04-01,15,0,68,1,False
2024-04-02,15,0,68,1,False
2024-04-03,15,0,68,1,False
2024-04-04,15,0,68,1,False
2024-04-05,15,0,68,1,False
2024-04-06,15,0,68,1,False
2024-04-07,19,0,93,1,False
2024-04-08,19,0,93,1,False
2024-04-09,19,0,93,1,False
2024-04-10,19,0,93,1,False
2024-04-11,19,0,93,1,False
2024-04-12,19,0,93,1,False
2024-04-13,19,0,93,1,False
2024-04-14,14,0,74,0,False
2024-04-15,14,0,74,0,False
2024-04-16,14,0,74,0,False
2024-04-17,14,0,74,0,False
2024-04-18,14,0,74,0,False
2024-04-19,14,0,74,0,False
2024-04-20,14,0,74,0,False
2024-04-21,13,0,69,1,False
2024-04-22,13,0,69,1,False
2024-04-23,13,0,69,1,False
2024-04-24,13,0,69,1,False
2024-04-25,13,0,69,1,False
2024-04-26,13,0,69,1,False
2024-04-27,13,0,69,1,False
2024-04-28,16,0,82,1,False
2024-04-29,16,0,82,1,False
2024-04-30,16,0,82,1,False
2024-05-01,16,0,82,1,False
2024-05-02,16,0,82,1,False
2024-05-03,16,0,82,1,False
2024-05-04,16,0,82,1,False
2024-05-05,15,0,75,2,False
2024-05-06,15,0,75,2,False
2024-05-07,15,0,75,2,False
2024-05-08,15,0,75,2,False
2024-05-09,15,0,75,2,False
2024-05-10,15,0,75,2,False
2024-05-11,15,0,75,2,False
2024-05-12,14,0,71,1,False
2024-05-13,14,0,71,1,False
2024-05-14,14,0,71,1,False
2024-05-15,14,0,71,1,False
2024-05-16,14,0,71,1,False
2024-05-17,14,0,71,1,False
2024-05-18,14,0,71,1,False
2024-05-19,15,0,81,1,False
2024-05-20,15,0,81,1,False
2024-05-21,15,0,81,1,False
2024-05-22,15,0,81,1,False
2024-05-23,15,0,81,1,False
2024-05-24,15,0,81,1,False
2024-05-25,15,0,81,1,False
2024-05-26,16,0,80,2,False
2024-05-27,16,0,80,2,False
2024-05-28,16,0,80,2,False
2024-05-29,16,0,80,2,False
2024-05-30,16,0,80,2,False
2024-05-31,16,0,80,2,False
2024-06-01,16,0,80,2,False
2024-06-02,17,0,75,1,False
2024-06-03,17,0,75,1,False
2024-06-04,17,0,75,1,False
2024-06-05,17,0,75,1,False
2024-06-06,17,0,75,1,False
2024-06-07,17,0,75,1,False
2024-06-08,17,0,75,1,False
2024-06-09,19,0,94,2,False
2024-06-10,19,0,94,2,False
2024-06-11,19,0,94,2,False
2024-06-12,19,0,94,2,False
2024-06-13,19,0,94,2,False
2024-06-14,19,0,94,2,False
2024-06-15,19,0,94,2,False
2024-06-16,20,0,93,1,False
2024-06-17,20,0,93,1,False
2024-06-18,20,0,93,1,False
2024-06-19,20,0,93,1,False
2024-06-20,20,0,93,1,False
2024-06-21,20,0,93,1,False
2024-06-22,20,0,93,1,False
2024-06-23,17,0,70,1,False
2024-06-24,17,0,70,1,False
2024-06-25,17,0,70,1,False
2024-06-26,17,0,70,1,False
2024-06-27,17,0,70,1,False
2024-06-28,17,0,70,1,False
2024-06-29,17,0,70,1,False
2024-06-30,18,0,77,1,False
2024-07-01,18,0,77,1,False
2024-07-02,18,0,77,1,False
2024-07-03,18,0,77,1,False
2024-07-04,18,0,77,1,False
2024-07-05,18,0,77,1,False
2024-07-06,18,0,77,1,False
2024-07-07,18,0,69,1,False
2024-07-08,18,0,69,1,False
2024-07-09,18,0,69,1,False
2024-07-10,18,0,69,1,False
2024-07-11,18,0,69,1,False
2024-07-12,18,0,69,1,False
2024-07-13,18,0,69,1,False
2024-07-14,16,0,65,1,False
2024-07-15,16,0,65,1,False
2024-07-16,16,0,65,1,False
2024-07-17,16,0,65,1,False
2024-07-18,16,0,65,1,False
2024-07-19,16,0,65,1,False
2024-07-20,16,0,65,1,False
2024-07-21,16,0,65,1,False
2024-07-22,16,0,65,1,False
2024-07-23,16,0,65,1,False
2024-07-24,16,0,65,1,False
2024-07-25,16,0,65,1,False
2024-07-26,16,0,65,1,False
2024-07-27,16,0,65,1,False
2024-07-28,18,0,62,1,False
2024-07-29,18,0,62,1,False
2024-07-30,18,0,62,1,False
2024-07-31,18,0,62,1,False
2024-08-01,18,0,62,1,False
2024-08-02,18,0,62,1,False
2024-08-03,18,0,62,1,False
2024-08-04,16,0,70,1,False
2024-08-05,16,0,70,1,False
2024-08-06,16,0,70,1,False
2024-08-07,16,0,70,1,False
2024-08-08,16,0,70,1,False
2024-08-09,16,0,70,1,False
2024-08-10,16,0,70,1,False
2024-08-11,17,0,67,1,False
2024-08-12,17,0,67,1,False
2024-08-13,17,0,67,1,False
2024-08-14,17,0,67,1,False
2024-08-15,17,0,67,1,False
2024-08-16,17,0,67,1,False
2024-08-17,17,0,67,1,False
2024-08-18,16,0,67,1,False
2024-08-19,16,0,67,1,False
2024-08-20,16,0,67,1,False
2024-08-21,16,0,67,1,False
2024-08-22,16,0,67,1,False
2024-08-23,16,0,67,1,False
2024-08-24,16,0,67,1,False
2024-08-25,13,0,67,1,False
2024-08-26,13,0,67,1,False
2024-08-27,13,0,67,1,False
2024-08-28,13,0,67,1,False
2024-08-29,13,0,67,1,False
2024-08-30,13,0,67,1,False
2024-08-31,13,0,67,1,False
2024-09-01,14,0,73,0,False
2024-09-02,14,0,73,0,False
2024-09-03,14,0,73,0,False
2024-09-04,14,0,73,0,False
2024-09-05,14,0,73,0,False
2024-09-06,14,0,73,0,False
2024-09-07,14,0,73,0,False
2024-09-08,11,0,62,1,False
2024-09-09,11,0,62,1,False
2024-09-10,11,0,62,1,False
2024-09-11,11,0,62,1,False
2024-09-12,11,0,62,1,False
2024-09-13,11,0,62,1,False
2024-09-14,11,0,62,1,False
2024-09-15,14,0,61,0,False
2024-09-16,14,0,61,0,False
2024-09-17,14,0,61,0,False
2024-09-18,14,0,61,0,False
2024-09-19,14,0,61,0,False
2024-09-20,14,0,61,0,False
2024-09-21,14,0,61,0,False
2024-09-22,13,0,66,1,False
2024-09-23,13,0,66,1,False
2024-09-24,13,0,66,1,False
2024-09-25,13,0,66,1,False
2024-09-26,13,0,66,1,False
2024-09-27,13,0,66,1,False
2024-09-28,13,0,66,1,False
2024-09-29,18,0,74,1,False
2024-09-30,18,0,74,1,False
2024-10-01,18,0,74,1,False
2024-10-02,18,0,74,1,False
2024-10-03,18,0,74,1,False
2024-10-04,18,0,74,1,False
2024-10-05,18,0,74,1,False
2024-10-06,16,0,67,1,False
2024-10-07,16,0,67,1,False
2024-10-08,16,0,67,1,False
2024-10-09,16,0,67,1,False
2024-10-10,16,0,67,1,False
2024-10-11,16,0,67,1,False
2024-10-12,16,0,67,1,False
2024-10-13,15,0,63,1,False
2024-10-14,15,0,63,1,False
2024-10-15,15,0,63,1,False
2024-10-16,15,0,63,1,False
2024-10-17,15,0,63,1,False
2024-10-18,15,0,63,1,False
2024-10-19,15,0,63,1,False
2024-10-20,13,0,62,0,False
2024-10-21,13,0,62,0,False
2024-10-22,13,0,62,0,False
2024-10-23,13,0,62,0,False
2024-10-24,13,0,62,0,False
2024-10-25,13,0,62,0,False
2024-10-26,13,0,62,0,False
2024-10-27,16,0,70,1,False
2024-10-28,16,0,70,1,False
2024-10-29,16,0,70,1,False
2024-10-30,16,0,70,1,False
2024-10-31,16,0,70,1,False
2024-11-01,16,0,70,1,False
2024-11-02,16,0,70,1,False
2024-11-03,11,0,61,1,False
2024-11-04,11,0,61,1,False
2024-11-05,11,0,61,1,False
2024-11-06,11,0,61,1,False
2024-11-07,11,0,61,1,False
2024-11-08,11,0,61,1,False
2024-11-09,11,0,61,1,False
2024-11-10,11,0,62,1,False
2024-11-11,11,0,62,1,False
2024-11-12,11,0,62,1,False
2024-11-13,11,0,62,1,False
2024-11-14,11,0,62,1,False
2024-11-15,11,0,62,1,False
2024-11-16,11,0,62,1,False
2024-11-17,10,0,65,1,False
2024-11-18,10,0,65,1,False
2024-11-19,10,0,65,1,False
2024-11-20,10,0,65,1,False
2024-11-21,10,0,65,1,False
2024-11-22,10,0,65,1,False
2024-11-23,10,0,65,1,False
2024-11-24,11,0,64,1,False
2024-11-25,11,0,64,1,False
2024-11-26,11,0,64,1,False
2024-11-27,11,0,64,1,False
2024-11-28,11,0,64,1,False
2024-11-29,11,0,64,1,False
2024-11-30,11,0,64,1,False
2024-12-01,14,0,65,0,False
2024-12-02,14,0,65,0,False
2024-12-03,14,0,65,0,False
2024-12-04,14,0,65,0,False
2024-12-05,14,0,65,0,False
2024-12-06,14,0,65,0,False
2024-12-07,14,0,65,0,False
2024-12-08,12,0,69,1,False
2024-12-09,12,0,69,1,False
2024-12-10,12,0,69,1,False
2024-12-11,12,0,69,1,False
2024-12-12,12,0,69,1,False
2024-12-13,12,0,69,1,False
2024-12-14,12,0,69,1,False
2024-12-15,16,0,75,2,False
2024-12-16,16,0,75,2,False
2024-12-17,16,0,75,2,False
2024-12-18,16,0,75,2,False
2024-12-19,16,0,75,2,False
2024-12-20,16,0,75,2,False
2024-12-21,16,0,75,2,False
2024-12-22,27,0,99,1,False
2024-12-23,27,0,99,1,False
2024-12-24,27,0,99,1,False
2024-12-25,27,0,99,1,False
2024-12-26,27,0,99,1,False
2024-12-27,27,0,99,1,False
2024-12-28,27,0,99,1,False
2024-12-29,18,0,79,0,False
2024-12-30,18,0,79,0,False
2024-12-31,18,0,79,0,False
2025-01-01,18,0,79,0,False
2025-01-02,18,0,79,0,False
2025-01-03,18,0,79,0,False
2025-01-04,18,0,79,0,False
2025-01-05,12,0,51,1,False
2025-01-06,12,0,51,1,False
2025-01-07,12,0,51,1,False
2025-01-08,12,0,51,1,False
2025-01-09,12,0,51,1,False
2025-01-10,12,0,51,1,False
2025-01-11,12,0,51,1,False
2025-01-12,11,0,48,0,False
2025-01-13,11,0,48,0,False
2025-01-14,11,0,48,0,False
2025-01-15,11,0,48,0,False
2025-01-16,11,0,48,0,False
2025-01-17,11,0,48,0,False
2025-01-18,11,0,48,0,False
2025-01-19,11,0,51,1,False
2025-01-20,11,0,51,1,False
2025-01-21,11,0,51,1,False
2025-01-22,11,0,51,1,False
2025-01-23,11,0,51,1,False
2025-01-24,11,0,51,1,False
2025-01-25,11,0,51,1,False
2025-01-26,16,0,70,1,False
2025-01-27,16,0,70,1,False
2025-01-28,16,0,70,1,False
2025-01-29,16,0,70,1,False
2025-01-30,16,0,70,1,False
2025-01-31,16,0,70,1,False
2025-02-01,16,0,70,1,False
2025-02-02,9,0,50,1,False
2025-02-03,9,0,50,1,False
2025-02-04,9,0,50,1,False
2025-02-05,9,0,50,1,False
2025-02-06,9,0,50,1,False
2025-02-07,9,0,50,1,False
2025-02-08,9,0,50,1,False
2025-02-09,12,0,62,1,False
2025-02-10,12,0,62,1,False
2025-02-11,12,0,62,1,False
2025-02-12,12,0,62,1,False
2025-02-13,12,0,62,1,False
2025-02-14,12,0,62,1,False
2025-02-15,12,0,62,1,False
2025-02-16,13,0,63,1,False
2025-02-17,13,0,63,1,False
2025-02-18,13,0,63,1,False
2025-02-19,13,0,63,1,False
2025-02-20,13,0,63,1,False
2025-02-21,13,0,63,1,False
2025-02-22,13,0,63,1,False
2025-02-23,12,0,59,0,False
