ride,type,environment,description,,,
Enchanted Airways,Family Roller Coaster,Outdoor,"Climb aboard Donkey?s beloved Dragon for a flight over the canopies of the forests of Far Far Away and beyond. At Enchanted Airways, you?ll encounter a merry cast of fairy tale creatures ? from the Three Little Pigs to the Big Bad Wolf, from Gingy to Pinocchio. This junior roller coaster serves destinations throughout the World of Shrek!",,,
Accelerator,Seated Spinning Ride,Sheltered,"Get ready to be transported by an intergalactic space ride that will test your stamina and balance thresholds. How long can you ensure the centrifugal force created as your pod turns and accelerates, sending you spinning in unexpected directions? It's like being in a space battle and changing course mid-flight to dodge the enemy's lasers!",,,
Battlestar Galactica: CYLON,High Speed Turbulent Roller Coaster,Outdoor,"Attention all adrenaline junkies! You?re about to engage in the ultimate intergalactic battle between good and evil on the world?s tallest duelling roller coasters! So pick your side ? Battlestar Galactica?s Human or Cylon and get ready for an exhilarating adventure as you twist, turn, rise, drop and race towards your sworn enemy.",,,
Battlestar Galactica: HUMAN,High Speed Turbulent Roller Coaster,Outdoor,"Attention all adrenaline junkies! You?re about to engage in the ultimate intergalactic battle between good and evil on the world?s tallest duelling roller coasters! So pick your side ? Battlestar Galactica?s Human or Cylon and get ready for an exhilarating adventure as you twist, turn, rise, drop and race towards your sworn enemy.",,,
Buggie Boogie,Carousel,Sheltered,The first-ever Minion dance party-themed carousel makes its debut at Universal Studios Singapore! Hop aboard a fleet of super silly creatures and boogie to popular songs remixed by the Minions.,,,
Canopy Flyer,Aerial Ride,Outdoor,"Gain a prehistoric birds-eye view as you fly high above the canopy over the lost world of Jurassic Park and search for prey on the landscape below. Soar through the air like a pterodactyl, swing and swoop side to side, then accelerate after your prey. Feel as free as a bird of prey on the Canopy Flyer!",,,
Despicable Me Minon Mayhem,,,"Go on an immersive ride through Gru's lab and become a Minion as you join Edith, Margo, Agnes, Gru and the Minions on a mischief-filled adventure.",,,
Dino-Soarin,Seated Spinning Ride,Outdoor,"Ride on the back of flying dinosaurs called Pteranodons in this gentle kids? ride and look out over the lost world of Jurassic Park from on high. Accompany your little tots as you soar up into the sky and plunge down into the shadows, feeling the freedom of being a bird of prey in the prehistoric times when dinosaurs walked the earth!",,,
Jurassic Park Rapids Adventure,River Raft Ride,Outdoor,"Take a wild ride on the waterways of Jurassic Park where prehistoric creatures roam free in seek of their next meal, and you?re it! Make your way down the white water raft system with state-of-the art animatronics and a thrilling white water drop. Your circular raft will be tossed around on the water as you attempt to avoid being lunch.",,,
"Lights, Camera, Action! Hosted by Steven Spielberg",Movie Special Effects Show,Indoor,Watch a soundstage come to life through the magic of special effects. See a calm day transform right before your eyes as a hurricane blows into New York City. Feel the wind and rain as they sweep from the sea and don?t forget to look out for the debris!,,,
Magic Potion Spin,Children?s Ferris Wheel,Indoor,"Enter Fairy Godmother?s Potion Shop and you?ll find bubbling vats concocted at the fantastical heart of the factory, the Magic Potion Spin. This miniature Ferris wheel drives a clinking, clanking potion assembly line that circles the room, bottling magical elixirs from a giant wooden vat. Climb onboard and let the spinning commence!",,,
Puss In Boots' Giant Journey,Family Roller Coaster,Outdoor,"Amigos! Hop onto the world?s first Puss in Boots? Giant Journey roller coaster and join Puss and Kitty on this anti-gravity, swashbuckling adventure atop a giant beanstalk. You?ll go in search of the precious golden eggs, but beware! The legendary Great Terror will stop at nothing to scramble the plans of those who come a-poaching.",,,
Revenge of the Mummy,High Speed Roller Coaster,Indoor,"Ready for a mummy adventure to beat them all? Enter this indoor roller coaster ride into total darkness, if you dare. Be prepared to get plagued on all sides by huge fireballs, swarms of scarab beetles and an army of warrior mummies, all appearing from the darkness out of nowhere. Can you survive Imhotep?s curse or will you be entombed inside forever?",,,
Sesame Street Spaghetti Space Chase,Movie Special Effects Show,Indoor,"Go on a space mission with our Sesame Street super heroes and join the world?s first Sesame Street Spaghetti Space Chase! In this high-flying adventure, we need your help to stop Macaroni the Merciless and his minions from stealing all the spaghetti from Earth and return the stolen spaghetti to our planet. Who?s up for the challenge?",,,
Shrek 4-D Adventure,4-D Film Experience,Indoor,"Get ready to go beyond the expected 3D movie experience as you join Shrek and friends in this 4D fairy-tale honeymoon adventure. Through the magic of OrgeVision, you?ll actually FEEL the action from your seat - every jump, bump, bounce, air blast and water spray that brings the action completely to life for you as if you were there.",,,
Silly Swirly,Aerial Ride,Outdoor,Take off in uniquely styled ride vehicles and spin and soar through the sky while catching views of Super Silly Fun Land and the lagoon.,,,
TRANSFORMERS The Ride: The Ultimate 3D Battle,Hyper-realistic 3D Thrill Ride,Indoor,"Join Optimus Prime and the Autobots as you become a freedom fighter in the ultimate 3D battle against the forces of evil. Race through the city, zipping through subway tunnels, along streets and across high-rise rooftops, as you fight to save humanity from the villainous Decepticons as they invade NEST Headquarters to steal the AllSpark.",,,
Treasure Hunters,Motor Car Ride,Outdoor,"Fulfil your dreams of becoming an archaeologist on your own Treasure Hunters expedition! Venture out into the forbidding sands of ancient Egypt, where young treasure hunters can drive their own vintage motor car for an exciting forage through an abandoned excavation site. A treasure of experiences awaits.",,,