Visitor_ID,Visitor_Engagement,Interaction_Rate,Wait_Time,User_Satisfaction,Overall_Experience
1,11,2,16,9,Average
2,8,9,15,10,Average
3,17,8,14,4,Average
4,19,13,22,9,Poor
5,15,12,14,5,Average
6,12,10,4,10,Good
7,17,7,20,9,Average
8,9,9,13,3,Poor
9,11,4,1,4,Average
10,14,13,10,9,Good
11,7,4,18,10,Average
12,11,1,6,6,Good
13,15,8,5,2,Poor
14,15,14,27,7,Poor
15,12,14,1,2,Poor
16,9,12,5,2,Poor
17,8,3,17,1,Poor
18,12,7,1,3,Poor
19,12,12,17,6,Average
20,7,2,29,8,Poor
21,10,2,14,9,Average
22,9,7,26,7,Poor
23,6,6,18,4,Average
24,12,3,1,6,Good
25,16,9,19,5,Average
26,18,10,24,8,Poor
27,10,14,5,1,Poor
28,6,13,0,1,Poor
29,16,6,23,6,Poor
30,9,10,14,10,Average
31,5,10,27,2,Poor
32,16,6,29,5,Poor
33,14,1,22,1,Poor
34,10,4,9,7,Good
35,17,10,18,1,Poor
36,16,6,16,4,Average
37,13,6,4,9,Good
38,5,11,28,1,Poor
39,15,12,3,4,Average
40,15,5,9,6,Good
41,19,1,23,6,Poor
42,14,8,16,8,Average
43,16,5,9,1,Poor
44,16,12,16,7,Average
45,19,12,27,1,Poor
46,18,12,19,7,Average
47,18,5,23,3,Poor
48,19,7,4,8,Excellent
49,18,4,1,3,Poor
50,7,6,5,1,Poor
51,16,13,20,8,Average
52,11,4,1,3,Poor
53,8,14,12,2,Poor
54,13,3,29,1,Poor
55,7,7,10,3,Poor
56,9,8,10,2,Poor
57,7,4,15,2,Poor
58,11,13,10,6,Good
59,9,2,18,1,Poor
60,13,12,14,2,Poor
61,11,10,24,6,Poor
62,6,14,22,3,Poor
63,8,3,22,4,Poor
64,13,1,15,1,Poor
65,16,8,10,8,Good
66,18,3,21,7,Poor
67,6,12,15,7,Average
68,14,10,7,3,Poor
69,13,7,3,10,Good
70,14,10,7,10,Good
71,9,5,3,3,Poor
72,6,10,23,2,Poor
73,8,5,24,1,Poor
74,16,14,2,7,Good
75,19,7,2,7,Good
76,16,9,26,2,Poor
77,11,12,28,7,Poor
78,16,5,17,8,Average
79,17,1,28,1,Poor
80,12,10,25,9,Poor
81,19,10,18,7,Average
82,7,1,18,3,Poor
83,18,2,20,8,Average
84,5,14,4,7,Average
85,8,6,17,8,Average
86,6,9,27,6,Poor
87,12,8,9,9,Good
88,8,13,28,5,Poor
89,6,5,21,3,Poor
90,18,1,20,3,Poor
91,10,13,5,1,Poor
92,10,7,0,8,Good
93,14,5,4,2,Poor
94,8,6,8,3,Poor
95,10,13,11,8,Average
96,17,7,25,8,Poor
97,19,3,13,4,Average
98,6,12,1,4,Average
99,14,10,16,5,Average
100,16,3,13,6,Average
101,6,5,25,5,Poor
102,14,6,12,7,Average
103,18,9,26,2,Poor
104,8,13,8,7,Average
105,18,14,25,10,Poor
106,19,12,24,7,Poor
107,19,5,14,1,Poor
108,12,1,24,7,Poor
109,18,14,21,5,Poor
110,11,14,14,3,Poor
111,16,14,23,3,Poor
112,13,4,29,4,Poor
113,18,5,10,2,Poor
114,12,12,15,2,Poor
115,9,10,28,1,Poor
116,17,10,16,5,Average
117,6,5,25,4,Poor
118,19,7,3,10,Excellent
119,9,4,0,2,Poor
120,12,1,7,3,Poor
121,14,14,16,7,Average
122,13,14,2,7,Good
123,16,5,28,4,Poor
124,16,7,19,5,Average
125,16,10,14,5,Average
126,17,10,14,6,Average
127,13,6,23,9,Poor
128,17,5,21,2,Poor
129,19,4,13,5,Average
130,17,2,25,3,Poor
131,5,4,27,4,Poor
132,13,10,22,10,Poor
133,11,10,13,6,Average
134,13,3,23,8,Poor
135,12,10,1,1,Poor
136,5,1,12,10,Average
137,16,8,25,8,Poor
138,12,5,13,7,Average
139,12,13,26,1,Poor
140,19,4,23,2,Poor
141,15,8,18,3,Poor
142,7,7,6,1,Poor
143,5,2,2,9,Average
144,12,1,14,8,Average
145,7,12,22,2,Poor
146,7,11,13,9,Average
147,5,4,10,7,Average
148,15,8,14,9,Average
149,9,12,27,6,Poor
150,14,2,12,6,Average
151,11,3,17,4,Average
152,14,12,25,10,Poor
153,13,1,5,10,Good
154,16,1,2,2,Poor
155,11,13,18,7,Average
156,13,3,14,5,Average
157,12,11,24,6,Poor
158,16,5,22,2,Poor
159,6,12,4,5,Average
160,5,3,27,10,Poor
161,11,1,9,4,Average
162,11,1,6,9,Good
163,18,8,24,6,Poor
164,12,10,16,2,Poor
165,9,11,6,1,Poor
166,7,12,21,5,Poor
167,16,13,25,9,Poor
168,12,13,29,6,Poor
169,10,12,11,10,Average
170,15,14,24,7,Poor
171,7,2,16,5,Average
172,5,13,12,10,Average
173,7,3,19,6,Average
174,9,2,24,5,Poor
175,19,3,3,9,Excellent
176,18,7,9,6,Good
177,7,1,2,8,Average
178,5,10,8,2,Poor
179,9,8,12,9,Average
180,14,13,17,5,Average
181,11,10,14,7,Average
182,19,10,3,10,Excellent
183,18,10,14,1,Poor
184,11,14,21,10,Poor
185,15,2,1,5,Average
186,13,3,14,10,Average
187,19,9,7,2,Poor
188,19,7,7,6,Good
189,14,4,16,1,Poor
190,14,10,11,3,Poor
191,16,5,18,5,Average
192,17,2,9,4,Average
193,7,13,8,3,Poor
194,19,11,4,10,Excellent
195,11,13,5,5,Average
196,5,8,19,8,Average
197,8,4,25,4,Poor
198,17,9,1,1,Poor
199,8,5,26,7,Poor
200,18,13,23,8,Poor
201,9,9,26,3,Poor
202,11,4,12,6,Average
203,11,10,5,2,Poor
204,17,5,4,7,Good
205,19,9,24,8,Poor
206,15,8,0,6,Good
207,17,3,20,6,Average
208,8,1,21,5,Poor
209,17,3,20,8,Average
210,11,4,5,1,Poor
211,15,2,5,10,Excellent
212,7,1,22,4,Poor
213,10,7,15,4,Average
214,16,8,3,3,Poor
215,6,7,29,3,Poor
216,14,14,10,4,Average
217,17,5,29,1,Poor
218,18,12,29,2,Poor
219,13,1,29,9,Poor
220,9,7,23,10,Poor
221,10,13,22,2,Poor
222,16,7,8,5,Average
223,16,9,22,9,Poor
224,16,3,2,9,Excellent
225,16,9,18,8,Average
226,8,14,7,1,Poor
227,18,1,4,1,Poor
228,18,1,3,9,Excellent
229,15,14,23,8,Poor
230,14,4,5,10,Good
231,11,9,1,9,Good
232,16,6,19,7,Average
233,13,13,27,3,Poor
234,11,11,10,3,Poor
235,18,3,3,2,Poor
236,5,1,14,5,Average
237,5,4,5,3,Poor
238,13,12,21,6,Poor
239,15,13,16,2,Poor
240,18,9,29,3,Poor
241,13,3,23,5,Poor
242,8,12,5,1,Poor
243,17,9,18,1,Poor
244,13,7,29,10,Poor
245,7,12,24,9,Poor
246,11,14,1,7,Good
247,10,4,14,1,Poor
248,12,3,10,8,Good
249,15,10,7,3,Poor
250,13,5,25,8,Poor
251,18,5,18,5,Average
252,9,3,12,1,Poor
253,5,12,11,7,Average
254,7,9,4,5,Average
255,14,4,5,6,Good
256,16,11,25,6,Poor
257,12,5,21,8,Poor
258,19,4,3,9,Excellent
259,15,5,18,2,Poor
260,10,7,19,9,Average
261,12,9,0,10,Good
262,13,7,19,9,Average
263,8,13,16,10,Average
264,5,5,11,10,Average
265,18,10,14,7,Average
266,5,10,0,1,Poor
267,14,7,25,7,Poor
268,8,14,13,10,Average
269,16,10,5,5,Average
270,18,5,4,6,Good
271,11,3,29,10,Poor
272,6,7,10,7,Average
273,7,13,3,5,Average
274,5,11,12,7,Average
275,9,11,10,9,Average
276,5,2,2,3,Poor
277,12,12,0,8,Good
278,5,9,5,2,Poor
279,15,10,17,7,Average
280,5,10,23,2,Poor
281,6,12,9,4,Average
282,6,1,4,7,Average
283,16,13,22,3,Poor
284,10,6,9,2,Poor
285,11,7,11,10,Average
286,9,14,1,7,Average
287,5,13,12,1,Poor
288,5,8,7,8,Average
289,7,10,1,3,Poor
290,18,9,19,2,Poor
291,6,2,0,3,Poor
292,9,11,4,5,Average
293,16,10,8,8,Good
294,14,2,16,10,Average
295,10,5,8,7,Good
296,11,13,10,7,Good
297,8,5,14,7,Average
298,11,6,23,8,Poor
299,15,3,5,1,Poor
300,12,8,22,4,Poor
301,15,13,2,6,Good
302,5,1,29,9,Poor
303,19,6,16,2,Poor
304,10,4,4,1,Poor
305,12,1,29,10,Poor
306,9,7,27,2,Poor
307,8,9,11,7,Average
308,6,13,17,3,Poor
309,10,4,13,10,Average
310,10,4,20,2,Poor
311,15,6,23,7,Poor
312,19,12,10,2,Poor
313,5,3,8,3,Poor
314,13,13,1,7,Good
315,16,12,11,4,Average
316,15,6,2,1,Poor
317,10,7,2,5,Average
318,17,11,0,9,Excellent
319,7,10,7,8,Average
320,8,10,21,9,Poor
321,16,3,27,10,Poor
322,15,7,28,9,Poor
323,8,14,7,7,Average
324,7,3,10,4,Average
325,14,13,8,5,Average
326,7,13,4,1,Poor
327,19,2,13,1,Poor
328,7,12,27,3,Poor
329,8,14,29,8,Poor
330,11,10,2,2,Poor
331,8,4,20,4,Average
332,13,12,4,2,Poor
333,5,8,4,5,Average
334,12,13,18,9,Average
335,11,9,26,1,Poor
336,6,7,13,5,Average
337,12,1,25,9,Poor
338,5,3,29,1,Poor
339,15,13,3,9,Excellent
340,16,12,24,8,Poor
341,13,14,12,4,Average
342,13,9,9,10,Good
343,6,12,24,5,Poor
344,11,1,17,5,Average
345,19,9,7,6,Good
346,18,8,7,7,Good
347,14,1,6,8,Good
348,7,6,7,8,Average
349,11,5,13,2,Poor
350,16,6,18,9,Average
351,14,10,28,7,Poor
352,13,12,5,4,Average
353,8,13,0,4,Average
354,16,13,22,8,Poor
355,5,13,14,4,Average
356,6,5,0,6,Average
357,5,6,24,5,Poor
358,18,5,16,3,Poor
359,16,11,0,10,Excellent
360,9,12,14,2,Poor
361,9,5,22,9,Poor
362,15,4,1,10,Excellent
363,11,3,13,9,Average
364,13,3,20,1,Poor
365,13,4,7,10,Good
366,7,9,7,3,Poor
367,7,2,18,8,Average
368,7,9,6,6,Average
369,8,1,18,5,Average
370,12,14,5,5,Average
371,10,1,5,6,Good
372,12,5,2,7,Good
373,5,6,6,1,Poor
374,12,6,18,9,Average
375,8,3,7,3,Poor
376,15,7,9,4,Average
377,5,9,19,10,Average
378,12,11,14,1,Poor
379,8,12,14,10,Average
380,10,10,28,3,Poor
381,12,8,0,2,Poor
382,8,6,19,2,Poor
383,18,12,29,1,Poor
384,7,8,6,8,Average
385,18,12,26,3,Poor
386,13,5,3,3,Poor
387,7,8,28,6,Poor
388,13,10,5,8,Good
389,17,12,24,9,Poor
390,6,4,0,9,Average
391,18,10,28,4,Poor
392,6,8,4,5,Average
393,6,10,26,2,Poor
394,10,12,22,9,Poor
395,7,2,0,8,Average
396,17,12,29,3,Poor
397,13,12,3,9,Good
398,8,5,21,3,Poor
399,5,9,1,9,Average
400,8,4,9,2,Poor
401,5,11,4,10,Average
402,18,6,26,9,Poor
403,9,1,9,8,Average
404,8,9,0,9,Average
405,12,1,21,5,Poor
406,12,5,5,2,Poor
407,11,4,12,8,Average
408,7,13,14,6,Average
409,5,12,3,8,Average
410,5,13,12,5,Average
411,16,13,23,10,Poor
412,15,14,19,2,Poor
413,7,3,23,6,Poor
414,10,13,14,5,Average
415,11,6,28,5,Poor
416,10,2,7,1,Poor
417,18,3,4,2,Poor
418,18,5,28,8,Poor
419,10,9,14,3,Poor
420,10,2,3,10,Good
421,17,10,11,3,Poor
422,7,8,12,8,Average
423,10,14,1,8,Good
424,12,2,26,2,Poor
425,15,11,18,8,Average
426,15,13,18,1,Poor
427,6,5,3,6,Average
428,9,7,3,8,Average
429,18,8,25,3,Poor
430,5,1,10,8,Average
431,16,6,26,1,Poor
432,19,1,4,9,Excellent
433,5,2,19,9,Average
434,9,1,10,5,Average
435,16,11,29,10,Poor
436,17,5,9,4,Average
437,7,10,7,6,Average
438,8,9,5,7,Average
439,7,6,5,5,Average
440,5,11,7,10,Average
441,5,11,22,9,Poor
442,16,1,14,3,Poor
443,16,13,25,7,Poor
444,18,1,13,10,Average
445,17,2,10,10,Good
446,18,9,11,5,Average
447,9,3,25,7,Poor
448,10,1,12,2,Poor
449,7,5,7,4,Average
450,16,7,29,2,Poor
451,13,6,17,7,Average
452,9,12,24,2,Poor
453,12,1,0,1,Poor
454,17,5,14,9,Average
455,5,5,7,1,Poor
456,18,6,27,8,Poor
457,9,3,10,2,Poor
458,19,5,11,8,Average
459,7,7,11,3,Poor
460,16,5,3,6,Good
461,5,5,15,3,Poor
462,8,5,3,7,Average
463,19,10,4,10,Excellent
464,17,10,23,9,Poor
465,9,3,4,2,Poor
466,11,1,7,5,Average
467,5,5,9,6,Average
468,7,14,16,4,Average
469,6,9,27,4,Poor
470,13,14,25,4,Poor
471,14,1,8,2,Poor
472,19,3,21,4,Poor
473,10,13,18,1,Poor
474,14,13,28,6,Poor
475,7,4,13,1,Poor
476,12,14,7,10,Good
477,18,1,8,6,Good
478,12,1,21,1,Poor
479,6,8,10,6,Average
480,19,2,22,10,Poor
481,10,12,0,8,Good
482,11,8,13,2,Poor
483,6,7,4,2,Poor
484,19,10,20,4,Average
485,15,10,25,3,Poor
486,14,2,13,4,Average
487,6,6,3,7,Average
488,14,6,21,1,Poor
489,5,3,22,6,Poor
490,12,11,24,3,Poor
491,5,2,0,10,Average
492,13,12,21,7,Poor
493,15,1,22,10,Poor
494,10,6,18,2,Poor
495,11,12,7,2,Poor
496,17,5,14,4,Average
497,14,14,20,1,Poor
498,11,14,14,3,Poor
499,14,11,8,9,Good
500,7,9,20,7,Average
